fecha,date,neto
2021-08-27 10:50:57.000 +0200,44435,2040.0
2021-08-27 16:25:20.000 +0200,44435,620.0
2021-09-03 01:02:24.000 +0200,44442,7900.0
2021-09-03 01:06:12.000 +0200,44442,9480.0
2021-09-03 01:41:34.000 +0200,44442,7720.0
2021-09-03 04:29:07.000 +0200,44442,6800.0
2021-09-03 04:32:36.000 +0200,44442,8620.0
2021-09-03 06:30:50.000 +0200,44442,740.0
2021-09-03 07:17:57.000 +0200,44442,780.0
2021-09-03 08:43:17.000 +0200,44442,3460.0
2021-09-03 10:22:09.000 +0200,44442,40.0
2021-09-03 10:39:38.000 +0200,44442,5620.0
2021-09-03 10:41:44.000 +0200,44442,720.0
2021-09-03 11:08:01.000 +0200,44442,2580.0
2021-09-03 16:33:41.000 +0200,44442,700.0
2021-09-10 01:12:28.000 +0200,44449,11160.0
2021-09-10 01:12:51.000 +0200,44449,9640.0
2021-09-10 01:34:56.000 +0200,44449,9340.0
2021-09-10 04:31:29.000 +0200,44449,10340.0
2021-09-10 04:34:18.000 +0200,44449,5900.0
2021-09-10 04:35:13.000 +0200,44449,8300.0
2021-09-10 06:27:36.000 +0200,44449,880.0
2021-09-10 08:31:28.000 +0200,44449,2600.0
2021-09-10 08:53:11.000 +0200,44449,1100.0
2021-09-10 09:32:11.000 +0200,44449,120.0
2021-09-10 10:09:53.000 +0200,44449,1460.0
2021-09-10 10:34:51.000 +0200,44449,5280.0
2021-09-10 11:02:43.000 +0200,44449,2560.0
2021-09-10 16:13:24.000 +0200,44449,460.0
2021-09-17 00:59:00.000 +0200,44456,9580.0
2021-09-17 01:29:14.000 +0200,44456,8060.0
2021-09-17 02:56:03.000 +0200,44456,8000.0
2021-09-17 04:39:16.000 +0200,44456,9760.0
2021-09-17 04:42:24.000 +0200,44456,8860.0
2021-09-17 04:43:55.000 +0200,44456,4880.0
2021-09-17 06:26:31.000 +0200,44456,880.0
2021-09-17 08:37:36.000 +0200,44456,1680.0
2021-09-17 09:38:02.000 +0200,44456,200.0
2021-09-17 10:01:47.000 +0200,44456,3120.0
2021-09-17 10:49:02.000 +0200,44456,5200.0
2021-09-17 10:49:27.000 +0200,44456,2220.0
2021-09-17 16:10:50.000 +0200,44456,120.0
2021-09-24 00:59:55.000 +0200,44463,10100.0
2021-09-24 01:12:38.000 +0200,44463,10180.0
2021-09-24 01:46:09.000 +0200,44463,9420.0
2021-09-24 04:40:05.000 +0200,44463,10220.0
2021-09-24 04:40:40.000 +0200,44463,9740.0
2021-09-24 04:45:47.000 +0200,44463,6160.0
2021-09-24 06:25:54.000 +0200,44463,1160.0
2021-09-24 08:21:20.000 +0200,44463,1040.0
2021-09-24 09:23:49.000 +0200,44463,140.0
2021-09-24 10:23:15.000 +0200,44463,3520.0
2021-09-24 10:56:23.000 +0200,44463,5540.0
2021-09-24 11:04:15.000 +0200,44463,2760.0
2021-09-24 16:23:37.000 +0200,44463,840.0
2021-10-01 01:13:45.000 +0200,44470,9660.0
2021-10-01 01:14:19.000 +0200,44470,11000.0
2021-10-01 01:15:24.000 +0200,44470,9360.0
2021-10-01 04:28:27.000 +0200,44470,7860.0
2021-10-01 04:30:13.000 +0200,44470,10120.0
2021-10-01 04:30:45.000 +0200,44470,8020.0
